S.,,,Un
No.,Branch,Course Name/Group Name, Credits  
1,AE,INTRODUCTION TO,  
,,AEROSPACE,5
,, AE201A  ,
2,AE,COMPRESSIBLE,  
,, AE311A  ,9
,,,
,,,
3,AE,FLIGHT,  
,, AE321A  ,9
,,,
4,AE,INTRODUCTION TO,  
,,AEROSPACE,9
,, AE331A  ,
5,AE,AEROMODEL DESIGN &,  
,, AE361A  ,3
,,,
6,AE, AE371A  ,  
,,,4
7,AE,TECHNICAL,  
,, AE401A  ,2
,,,
8,AE,ROCKET,  
,, AE441A  ,5
,,,
,,,
9,AE,EXPERIMENTS IN,  
,,AEROSPACE ENGINEERING,5
,, AE451A  ,
10,AE,AIRCRAFT DESIGN-,  
,, AE461A  ,7
,,,
11,AE, AE471A  ,  
,,,9
12,AE,UNDERGRADUATE,  
,, AE472A  ,9
13,AE,BOUNDARY LAYER,  
,, AE481A  ,9
,,,
14,AE,INTRO TO AEROSPACE,  
,, AE601A  ,9
,,,
15,AE,MATHEMATICS FOR,  
,,AEROSPACE,9
,, AE602A  ,
16,AE, AE609A  ,  
,,,9
17,AE, AE610A  ,  
,,,9
18,AE, AE614A  ,  
,,,9
,,,
19,AE,FLIGHT,  
,, AE647A  ,9
,,,
,,,
,,,
20,AE,AUTOMATIC CONTROL OF,  
,,AIRCRAFT ROCKETS AND,9
,, AE649A  ,
21,AE,FUNDAMENTALS OF,  
,, AE663A  ,9
,,,
22,AE,APPLIED COMPRESSIBLE,  
,, AE664A  ,9
,,,
23,AE,AEROSPACE STRUCTURAL,  
24,AE,DYNAMICS AND,  
,, AE688A  ,9
,,,
25,AE, AE699  ,  
,,,0
,,,
,,,
26,AE,CONTINUUM,  
,, AE702A  ,9
,,,
27,AE,COMPUTATIONAL,  
,, AE703A  ,9
,,,
28,AE,HYPERSONIC,  
,, AE720A  ,9
,,,
,,,
,,,
29,AE,MOLECULAR GAS,  
,, AE747A  ,9
,,,
30,AE,OPTIMAL SPACE FLIGHT,  
,, AE777A  ,9
31,AE, AE799  ,  
,,,0
32,AE,MS - RESEARCH,  
,, AE899  ,0
33,AE,FLUID MECHANICS AND,  
S.,,,Units
No.,Branch,Course Name/Group Name, Credits  
,, AE670A  ,9
S.,,,Units
No.,Branch,Course Name/Group Name, Credits  
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
34,BSBE,ORGAN SYSTEM,  
,,PHYSIOLOGY AND,9
,, BSE211A  ,
35,BSBE,SCIENTIFIC &,  
,,PROFESSIONAL,2
,, BSE301A,
,,  ,
36,BSBE,MOLECULAR CELL,  
,, BSE311A  ,9
,,,
,,,
37,BSBE,MOLECULAR BIOLOGY,  
,, BSE312A  ,9
,,,
38,BSBE, UGP-,  
39,BSBE, UGP-,  
,, BSE399A  ,9
40,BSBE, BSE411A  ,  
,,,11
,,,
,,,
41,BSBE,BIOMATERIAL,  
,,PHYSIOLOGY & BIO-MEMS,9
,, BSE412A  ,
42,BSBE,METHODS IN,  
