S.,,,Un
No.,Branch,Course Name/Group Name,(Credits)
1,AE,INTRODUCTION TO,3-0-0-
,,AEROSPACE,0(5)
,,ENGINEERING(AE201A),
2,AE,COMPRESSIBLE,3-0-0-
,,AERODYNAMICS(AE311A),0(9)
,,,
,,,
3,AE,FLIGHT,3-0-0-
,,MECHANICS(AE321A),0(9)
,,,
4,AE,INTRODUCTION TO,3-0-0-
,,AEROSPACE,0(9)
,,STRUCTURES(AE331A),
5,AE,AEROMODEL DESIGN &,0-0-3-
,,FABRICATION(AE361A),0(3)
,,,
6,AE,B TECH PROJECT 1(AE371A),0-0-0-
,,,0(4)
7,AE,TECHNICAL,0-0-2-
,,COMMUNICATION(AE401A),2(2)
,,,
8,AE,ROCKET,3-0-0-
,,PROPULSION(AE441A),0(5)
,,,
,,,
9,AE,EXPERIMENTS IN,0-0-3-
,,AEROSPACE ENGINEERING,2(5)
,,III(AE451A),
10,AE,AIRCRAFT DESIGN-,1-0-2-
,,I(AE461A),2(7)
,,,
11,AE,B TECH PROJECT(AE471A),0-0-0-
,,,0(9)
12,AE,UNDERGRADUATE,3-0-0-
,,PROJECT III(AE472A),0(9)
13,AE,BOUNDARY LAYER,3-0-0-
,,THEORY(AE481A),0(9)
,,,
14,AE,INTRO TO AEROSPACE,3-0-0-
,,ENGG.(AE601A),0(9)
,,,
15,AE,MATHEMATICS FOR,3-0-0-
,,AEROSPACE,0(9)
,,ENGG.(AE602A),
16,AE,Micro and Nanoflows(AE609A),3-0-0-
,,,0(9)
17,AE,AERODYNAMICS-I(AE610A),3-0-0-
,,,0(9)
18,AE,VISCOUS FLOWS(AE614A),3-0-0-
,,,0(9)
,,,
19,AE,FLIGHT,3-0-0-
,,DYNAMICS(AE647A),0(9)
,,,
,,,
,,,
20,AE,AUTOMATIC CONTROL OF,3-0-0-
,,AIRCRAFT ROCKETS AND,0(9)
,,SPACECRAFT(AE649A),
21,AE,FUNDAMENTALS OF,3-0-0-
,,COMBUSTION(AE663A),0(9)
,,,
22,AE,APPLIED COMPRESSIBLE,3-0-0-
,,FLOWS(AE664A),0(9)
,,,
23,AE,AEROSPACE STRUCTURAL,3-0-0-
24,AE,DYNAMICS AND,3-0-0-
,,VIBRATION(AE688A),0(9)
,,,
25,AE,M TECH THESIS(AE699),0-0-0-
,,,0(0)
,,,
,,,
26,AE,CONTINUUM,3-0-0-
,,MECHANICS(AE702A),0(9)
,,,
27,AE,COMPUTATIONAL,3-0-0-
,,METHODS(AE703A),0(9)
,,,
28,AE,HYPERSONIC,3-0-0-
,,FLOWS(AE720A),0(9)
,,,
,,,
,,,
29,AE,MOLECULAR GAS,3-0-0-
,,DYNAMICS(AE747A),0(9)
,,,
30,AE,OPTIMAL SPACE FLIGHT,3-0-0-
,,CONTROL(AE777A),0(9)
31,AE,PHD THESIS(AE799),0-0-0-
,,,0(0)
32,AE,MS - RESEARCH,0-0-0-
,,THESIS(AE899),0(0)
33,AE,FLUID MECHANICS AND,3-1-0-
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
,,ANALYSIS - I(AE670A),0(9)
